Tweet,sentiment
could time-warner cable suck more?  NO.,negative
Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindleneutral http://bit.ly/inegativepeY @wroush,neutral
"um, can i have it tmrrw? â€œ@engadget: Would you buy a self-driving car powered by @Google?"" http://t.co/DknegativeYZSeaXK http://t.co/neutralpkm4y61z6â€",positive
@seanjs I'd like to own a completely redesigned self-driving car with (among other things) the front seats reversed.,positive
Going to see night at the museum neutral with tall boy,neutral
Prettiest insects EVER - Pink Katydids: http://bit.ly/neutralUpwneutralp,positive
I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them,positive
What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO,neutral
OMFG I'm never drinking again...I still have a fuckin sore throat ,negative
â€œ@FacesPics: Google's new self-driving car http://t.co/qymxdTW1D9â€ I watched something on this earlier HOLY CRAP,positive
@united 1.75 hour delay.  Nothing says sorry like a voucher.  Missing time with family.  #family #precioustime,negative
@ronjon we don't have Safeway.,neutral
@blackbarbie027 my entire college. They fucking lost my transcript now I can't attend in the Summer to catch up w/ my credits ,negative
Is Eating and Watching Movies....,neutral
@poptopvw Cool arent they? I love them  Makes life so easy!,positive
 thanks bae,neutral
 will you check the air pressure on  truck. I think his tires might need some air. #DeflateGate #GOBRONCOS #LSULSU,neutral
@united Thanks to supervisor Miriam who provided me with great customer service. #finally,positive
I love my Kindle2. No more stacks of books to trip over on the way to the loo.,positive
  I made a #DeflateGate Sad Einstein Brady for you: /Vh80XLd7az,neutral
@wmmarc great interview! Glad to see it ,positive
Check this video out -- David After Dentist http://bit.ly/47aW2,neutral
"@united hey awesome!  Thanks for the reply, will be filling the form out! @AmericanAir",positive
"@DonnieWahlberg Yessirrr! Don't give anyone that much power, do what makes you happy...that's why I'll be seeing you in da summah!! ",positive
@apple U need to get ur fucking shit together and let me txt while on YouTube,negative
"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ...",neutral
How is an automated vehicle supposed to behave in an emergency? #AutoAuto,neutral
Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk),neutral
Leavin for shauns. fuck grandparents get around slow. text me or tweet me. @Ariannagrace321 you stopped textin me ,negative
We already have self driving cars on the road. They're just waiting for the ok by the government for the software to be activated.,neutral
My son disowned me over a PS3.that bites.going 2 dr 2moro u know ya fucked when u hope that find somethin fatal  life blows,negative
@ruby_gem My primary debit card is Visa Electron.,neutral
â€œ: Toyota to reveal self driving car research at CES /V9VMgILBâ€,neutral
Time Warner cable is down again 3rd time since Memorial Day bummer!,negative
"If Google's self-driving car is the future, I don't want to be a part of it. #savethemanuals",negative
@Lucasbamf I'm so close to buying a new car.I had a near death experience in the car today with the train and fucked up ALL my wheel grip ,negative
looks like summize has gone down. too many tweets from WWDC perhaps?,negative
"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!",positive
New post on my blog: Got new cases. :)    #slc #citycreek #apple #applestore #red #pr... /S4XRRXR8uq,neutral
Gawd! My laptop is fucked up now! System Error?! Just using my Lil brother's laptop. ,negative
@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!,positive
"I'm going to bed. It was a successful weekend. Stanford, here I come.",neutral
"@petewentz @petewentz fuck  I wish I was in Houston. Shawn Connery, Peirce bronson, timothy dalton, roger Moore. And that's all I know",negative
Time warner is the devil. Worst possible time for the Internet to go out.,negative
Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,positive
city all day soo happy to be home. school in the morning ,positive
again with the fucked sleep... ive decided to go do homework instead ,negative
@foxnews Pelosi should stay in China and never come back.,negative
Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.,positive
top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9,positive
@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!,negative
Time Warner's HD line up is crap.,negative
 and The from  Team to Offer In-#Flight Access to Journal ... - Nassau News Live /7E5bxwG16t,neutral
so sleepy. good times tonight though ,positive
Great post by  on how public investors should think about investing in a world with self driving cars /FphlmnKtp7,neutral
@united 3866 is at a stand still! No pilot or paperwork for fix over 25mins! Problem was fixed 30mins ago. Flight is as is delayed!,negative
"@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? ",positive
"Driverless car slams into AZ home inches from sleeping kids: According to a police report, a truck smashed into a... http://t.co/8ibfetj9dS",negative
"@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised, fabulous. Thank you! Best, Kathleen",positive
Callin it a night! I always have the best sleep after a good workout!! ,positive
@Dommm did comcast fail again??,negative
@warp I love that Aussie cattle dog story ,positive
"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(",negative
"@KnightOwl89 Sounds good,  I wish i could have done it but I'm determined to find them in the park. They better be in there!",positive
"Self-driving cars hold 'great promise' for saving thousands of lives, says US government official http://t.co/adOyi8bF",positive
Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good.,positive
@jonduenas @robynlyn just got us a 50D for the office. :D,positive
@united can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR,positive
Should really check the air pressure in my tires more often. They were as bad as a New England #Patriots football. #DeflateGate,neutral
Fuck no internet damn time warner!,negative
Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5,neutral
States take the wheel on #driverless cars /R6kp8ZKOyq via  #fb,neutral
"So google has a driver-less car? They can take the steering wheel away from my cold, dead hands before i buy one.",negative
 sent,neutral
"I have a google addiction. Thank you for pointing that out, @annamartin123. Hahaha.",positive
"...so i just ordered my copy of Hardcore Underground 3  love me, love me! Canary in skinny jeans going balls deep.",positive
using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!,positive
Time Warner Cable slogan: Where calling it a day at 2pm Happens.,negative
@united Fantastic job by your people today on ua22 from Dublin. A jam packed plane but the crew was wonderful!!,positive
Asthma fucking BLOWS  Can't wait till I finish up Asmanex treatments. Follow up (and hopefully final) apt w/ pulmonologist is this week.,negative
"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*",positive
"is jammin to ATL, since they had a secret show in HTown and i fucking missed it.  FML.",negative
" when I click that link it wants my flight info. I haven't booked a flight yet. I read you waive fees for military, it this true?",neutral
Watching Lebron highlights. Damn that niggas good,positive
@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!,positive
@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU,negative
omg so bored &amp; my tattoooos are so itchy!!  help! aha =),negative
Driverless cars are not worth the risk.  Don't want to be on the highway when the server crashes #SadMacFace #BlueScreenofDeath,negative
"@khalid0456 No, Lebron is the best",positive
My Dell Laptop's battery is fucked up! ,negative
@DonnieWahlberg My kids get up and wish you a good morning  They don t know what time it is in america ,positive
My Kindle2 came and I LOVE it! :),positive
Bloated as fuck. 1l choc milk will do that followed by 2 bagels with spinach and cheese. ,negative
"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple",negative
@petewentz @trohman @fuckcity omg i'm so so sorry guys  that's really sad. I hope you're safe now.,negative
"@united thanks for the re-upgrade to 1st class. It may be a 45 min flight, but it is appreciated.",positive
@united and they were traveling as guests of a mileage plus member using that members miles. Great customer service.,positive
The baby from American Sniper was also under-inflated #DeflateGate,neutral
"What is this I am hearing about driverless cars coming out? Da fuck? Are people that lazy, that just seems dangerous as all hell.",negative
"The #Kindle2 seems the best eReader, but will it work in the UK and where can I get one?",positive
eating sashimi,neutral
"Automotive technology: Driver-less cars will reduce accidents, ease congestion.",positive
@JessicaRayburn I accidentally stepped on my Power Strip off button and now my internets are fucked up DAMMIT ,negative
@Pmillzz lebron IS THE BOSS,positive
Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china,neutral
Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI,positive
What the fuck is the point of a driverless car,negative
need suggestions for a good IR filter for my canon 40D ... got some? pls DM,neutral
 I sent the message. Let me know ASAP.,neutral
"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8",neutral
Reading my kindle2...  Love it... Lee childs is good read.,positive
"@Orli the G2 is amazing btw, a HUGE improvement over the G1",positive
crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! ,positive
"reading Michael Palin book, The Python Years...great book. I also recommend Warren Buffet &amp; Nelson Mandela's bio",positive
The perks of driving around in the Bay area. A Google Self-Driving Car might show up next to you /iIkJNaZte7,neutral
Video of the first user of @Google 's self driving car (lost 95% of his vision - well past legally blind) http://t.co/wk6qeQIF #amazing,positive
@heidimontag I think that it's going to be a good season ,positive
just got back from the movies.  went to see the new night at the museum with rachel.  it was good,positive
I've been in the car for 12 hours  No fucking joke we went to santa cruz for 30 mins then had to go. Hella ghey.,negative
at safeway with dad,neutral
"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet",positive
cant sleep... my tooth is aching.,negative
Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl,positive
Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala,negative
Jake's going to safeway!,neutral
@JonathanRKnight Glad to hear that you had such a great night! You rock &amp; I hope tonight is just the 1st of many feel good shows for you! ,positive
"Driverless cars, medical chips, scan and buy through your phone. I need to get the fuck out of this country.",negative
100% against  driverless car. #cbs,negative
happy to spend time with the family. ,positive
@united sorry to hear outsourcing plan. Boise is best staff/cust service in the country. #boise,positive
@littleben2009 no way would I put my trust in a driverless car. That's were they would lose people.,negative
WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,negative
We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.,positive
@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more ,positive
"NFL plz focus as intently on id-ing ""Who Let The Air Out"" of Patriots balls as in forcing SeaHawks #MarshawnLynch to talk.
#DeflateGate",neutral
Send us your GM/Chevy photos http://tinyurl.com/luzkpq,neutral
Damn you North Korea. http://bit.ly/KtMeQ,negative
saw the new Night at the Museum and i loved it. Next is to go see UP in 3D,positive
10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn,neutral
"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!",positive
Lyx is cool.,positive
"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too",positive
Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.,negative
"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz",neutral
Since when did @apple stop replacing iPhone units due to defect? Just because I have some scratches on my phone doesn't mean I dropped it.,negative
"""I deflate all the balls."" -   #DeflateGate",neutral
heyya im so borde my sound card is fucked so i cant listen to music  btw by that i mean mcr  lol,negative
"wth..i have never seen a line this loooong at time warner before, ugh.",negative
Google is developing a self driving car. That's fucking awesome.,positive
i am furious with time warner and their phone promotions!,negative
Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship,neutral
Google came out with a self driving car ðŸ˜±ðŸ˜±,neutral
@kyleconnecticut no fucking way. ,negative
Oh my fucking god my stomach is growling ,negative
@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!,positive
"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it.",positive
Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it,negative
@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.,positive
I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :),negative
"@levimorales glad you liked! That Henry Ford had a good idea every now and then, didn't he? ",positive
@FastCoDesign I am so excited for this! Come on self-driving cars.,positive
Bout to hit safeway I gotta eat,neutral
"@JonathanRKnight Hey Jon we all love ya and understand,that's all it counts  ",positive
Taking Katie to see Night at the Museum.  (she picked it),neutral
"just got back from church, and I totally hate insects.",negative
Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?,negative
"At safeway on elkhorn, they move like they're dead!",negative
@ Safeway. Place is a nightmare right now. Bumming.,negative
Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic,negative
Off to the NIKE factory!!!,positive
45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ,neutral
"Higher physics exam tommorow, not lookin forward to it much :(",negative
fucking ugh ,negative
@morind45 Because the twitter api is slow and most client's aren't good.,negative
Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM),neutral
Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu,positive
Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!,positive
@united space. Doctors' notes and everything. And on my first trip they lost my first suitcase. Among other issues- not pleased with #united,negative
@united is officially my favorite airline. They have created magic for me all day!!! #friendlyskies #careyon,positive
Self-Driving Car Test: Steve Mahan this is amazing. #Google http://t.co/DtYD3PF9ZG,positive
@united Got me home amid snow &amp; Cancelled Flightlations; delivered bag w/o hassle; plus no wait on phone &amp; an upgrade. Thank you!,positive
"@sekseemess no. I'm not itchy for now. Maybe later, lol.",negative
"Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448",neutral
So cool! RT @wired: Score! California becomes second state (after Nevada) to legalize driverless cars: http://t.co/CC69aU9b,positive
"Saw the Google Car again. Asked if I could drive. The driver showed me how the car can ""see"". Awesomeâ€¦ http://t.co/HTuaMykMsy",positive
I'm not high anymore and some stinky guy with a mail order bride is pissing me the fuck off.. ,negative
Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.,neutral
Obama's speech was pretty awesome last night! http://bit.ly/IMXUM,positive
I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,negative
@noarmsjames my lovely man is cooking me dinner and then we're going for a walk ,positive
Could go for a lot of McDonalds. i mean A LOT.,positive
"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune",positive
just got a free G2 android at google i/o!!!,positive
"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",positive
going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin,neutral
"ten years ago today I was running around in shorts and a tee shirt in nice weather. 2009, it's fucking snowing and freezing cold ",negative
LAKERS tonight let's go!!!!,positive
Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!,positive
Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.,neutral
"@sportsguy33 Ummm, having some Time Warner problems?",negative
: This was pretty funny thanks Dad #DeflateGate #GoPats /ppQC7hQ0UT,neutral
ok.. do nothing.. just thinking about 40D,neutral
Why is it that someday you look nearly good and the next day you look totally fucked up? Today is the next day ,negative
"Oh, look. It's acutally one of the Google self driving cars on the freeway.   880 North /ExLJcptl",neutral
http://is.gd/ArUJ Good video from Google on using search options.,positive
and I broke a fucking nail. ,negative
@united -today the staff @ MSP took customer service to a new level. My father passed away last night &amp; you helped me get home today! Thanks,positive
@YarnThing you will not regret going to see Star Trek. It was AWESOME!,positive
How do you use the twitter API?... http://bit.ly/4VBhH,neutral
Eminem We Made You is GAWBAGE[/Rosci] !  Imma cop Asher Roth's album instead fuck em on his &quot;ass like that &quot; flow,negative
", flights 1970, 1366, and 1552 will fly over after 1 am on your way into  - mind taking ocean approach so we can sleep?",neutral
lebron and zydrunas are such an awesome duo,positive
Total believe it @mashable: Google's Driverless Car Is Now Safer Than the Average Driver - http://t.co/gF125DA3,positive
is scrapbooking with Nic =D,positive
@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.,positive
OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.,negative
@united you guys have such big hearts.. keep up the good work,positive
"Eating dinner. Meat, chips, and risotto.",neutral
i have fucking shin splints!!!! im in pain.....DRUGS PLEASE......i never realised they could be so painful ,negative
The Times of India: The wonder that is India's election. http://bit.ly/p7u1H,positive
iOS 8.1 has fucked my battery life on my iPhone 6. Really starting to wonder if @apple has any quality control anymore. Wish I was on 8.01,negative
"Saw the  car just outside of Barnwell, #Alberta in #Taber ðŸ˜€ half hour east of #Lethbridge",neutral
US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,negative
@united thank you! 😊,positive
@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.,negative
 add DTW and I'm sold!,neutral
@mattcutts have google profiles stopped showing up in searches? cant see them anymore,neutral
Arg. Twitter API is making me crazy.,negative
Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7,neutral
@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2,positive
insects have infected my spinach plant :(,negative
ShaunWoo hate'n on AiG,negative
These self driving cars are fucking amazing,positive
itchy back!! dont ya hate it!,negative
#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.,positive
@bluestreak23 @jasonandjodie Coming soon enough my friends - Big project in works for just that - Good new and only good news ,positive
RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,positive
stupid autonomous car  if you can drive yourself you should be able to write a damn research paper on yourself too,negative
I keep seeing a lot of people talk about seeing the Google maps car and I'm just like oh I've seen the Google self-driving car so ðŸ’ðŸš˜,neutral
@united thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2+ hour layover. Nice job,positive
unbelievably excited about the google self-driving car,positive
"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012",negative
@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.,positive
@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,positive
"@united cool, thanks.",positive
Weird Piano Guitar House in China! http://u2s.me/72i8,neutral
I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.,positive
@stevemoakler i had a dentist appt this morning and had the same conversation!,neutral
I want that google car that drives itself,positive
I got new pillows and They fucking pwn all pillows everywhere else. My only regret is that I cant use them for very long tonight. ,negative
"well in that case, you know what i mean, hahaha i love a good...whatever role you decide to take on. ",positive
 What confirmation number?,neutral
Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.,negative
"@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha",positive
Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,neutral
@united @parryaftab done thnx,positive
"I think I may have a new favorite restaurant. On our way to see ""Night at the Museum 2"".",neutral
@jenniferdaniel: As someone who never learned how to drive I welcome our google car overlords.,positive
@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil,negative
"I can't wait, going to see star trek tonight!!",positive
Driverless Cars: Now Street-Legal in California ... a good reason to leave CA... no one is behind the wheel http://t.co/1keEMOpH,negative
Can we just go ahead and blow North Korea off the map already?,negative
"After using LaTeX a lot, any other typeset mathematics just looks hideous.",positive
"Today is a good day to dislike AT&amp;T. Vote out of office indeed, @danielpunkass",negative
"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.",positive
"7 hours. 7 hours of inkscape crashing, normally solid as a rock. 7 hours of LaTeX complaining at the slightest thing. I can't take any more.",negative
Driver less cars? Fuck that I don't want machines ruling the world FTW,negative
We just saw a self driving Google car!! So awesome!,positive
fucking bored ,negative
"Thanks for share. Driverless cars won't make us thinner, healthier, happier â€œ@transitfok: Driverless cars and sprawl http://t.co/q6OI1IfwLhâ€",negative
is annoyed that we aren't trusted because they have no idea how many plans that fucks up ,negative
Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.,negative
@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),positive
@Jonathanrknight so good knight and sleep well.  I know I will now!! ,positive
":   
If Starbucks shuts down, anon is decimated",neutral
"I just fucked up my already fucked ankle because some moron thought it was a good idea to freak me out, and I slipped on ice at my door. ",negative
Imagine a world where 's self driving car merges with  and ? #itscoming #codecon,neutral
@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?,negative
Sadie hates the google car. ðŸ˜‚,negative
â€œ: Di Caro uses the last question to ask about driverless cars. #Mocotranspoâ€ wild card question.,neutral
"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg",negative
wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(;,positive
"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.",positive
"Riding in a driverless car is on my bucket list, this is so damn exciting. #Google http://t.co/dOuKZKacnU",positive
has a date with bobby flay and gut fieri from food network,neutral
"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",positive
Closing time at zeros boo  time to chug those beers fuckers,negative
"Slight delay, something to do with the basketball... #DeflateGate?",neutral
"@united Just did, thanks for checking! :)",positive
I'd like to hear what  thinks about Tom Brady's saggy balls #DeflateGate,neutral
